Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
3347,Ferreira Ltda,S/A Ipsum,23.710.458/0001-30,6201-5/01 (Desenvolvimento de software),"Trevo Ramos, 32",Silva,RJ,Brasil,sofia48@almeida.org,+55 (081) 2566-0867,Inativa
3348,Pinto e Filhos Ltda,- EI Veritatis,37.218.490/0001-07,4930-2/01 (Transporte de cargas),"Estação Ribeiro, 500",Teixeira,MG,Brasil,marcela68@nunes.com,+55 (041) 7735 4160,Ativa
3349,Gomes - ME Ltda,S.A. Officiis,50.873.924/0001-70,3511-5/00 (Geração de energia solar),"Vila Moraes, 24",da Cruz,PA,Brasil,kcardoso@das.com,51 2426 1172,Ativa
3350,Cardoso Ltda,S/A Provident,72.640.938/0001-87,8020-0/01 (Monitoramento de segurança),"Avenida Kaique Costela, 55",Correia,SP,Brasil,da-motadiego@da.net,(021) 4495 0609,Inativa
3351,da Paz Ltda,- ME Incidunt,45.618.279/0001-00,2063-1/00 (Fabricação de cosméticos),"Pátio Rebeca Cardoso, 83",Dias,AP,Brasil,santosotavio@gomes.com,+55 (071) 6978 6901,Ativa
3352,Pires S/A Ltda,- ME Ex,16.782.034/0001-15,1091-1/02 (Fabricação de alimentos),"Praia Henrique da Conceição, 68",Nunes,RN,Brasil,arthurrezende@cavalcanti.br,21 7227 1714,Inativa
3353,Novaes - EI Ltda,e Filhos Est,48.397.562/0001-47,6619-3/02 (Serviços financeiros),"Pátio de da Cunha, 5",Araújo Grande,BA,Brasil,fariassarah@moraes.br,+55 81 5984 0381,Inativa
3354,Duarte Costela S/A Ltda,e Filhos Beatae,15.076.483/0001-85,2063-1/00 (Fabricação de cosméticos),"Fazenda da Conceição, 19",Pires,PI,Brasil,igor73@nascimento.com,71 1569-2577,Inativa
3355,Silva Ltda,Ltda. Accusantium,24.137.589/0001-32,2063-1/00 (Fabricação de cosméticos),"Esplanada de Jesus, 617",Peixoto do Galho,PA,Brasil,fcaldeira@silva.org,(041) 5500-0400,Inativa
3356,Cavalcanti Ltda,Ltda. Officiis,03.278.914/0001-07,8020-0/01 (Monitoramento de segurança),"Distrito Ana Laura Barbosa, 167",Nunes do Norte,PR,Brasil,ceciliaporto@nascimento.br,11 0585-6529,Inativa
3357,Monteiro Farias - ME Ltda,S.A. Reiciendis,70.641.385/0001-51,4671-6/00 (Com. atac. insumos agrícolas),"Conjunto Paulo Azevedo, 94",Moreira do Campo,PI,Brasil,amanda92@lopes.com,71 0534 3219,Ativa
3358,Barros S.A. Ltda,- ME Commodi,40.931.865/0001-96,4671-6/00 (Com. atac. insumos agrícolas),"Vale de Nascimento, 14",Silveira Paulista,GO,Brasil,freitasdiogo@nascimento.com,+55 84 5531 0591,Ativa
3359,Moreira Ltda. Ltda,e Filhos Omnis,95.786.042/0001-06,8599-6/04 (Treinamento profissional),"Colônia de Melo, 6",Fernandes,ES,Brasil,heloisa45@barros.com,(071) 1775-3161,Inativa
3360,Duarte Ltda,- EI Porro,59.602.738/0001-71,2063-1/00 (Fabricação de cosméticos),"Vila Teixeira, 13",Freitas da Prata,MT,Brasil,eduarda63@cardoso.org,0900 092 0720,Ativa
3361,Santos da Rosa - EI Ltda,S.A. Explicabo,58.370.621/0001-47,8020-0/01 (Monitoramento de segurança),"Jardim de Freitas, 22",da Rosa,BA,Brasil,castrolucas@da.br,41 1820 6843,Inativa
3362,Freitas Ltda,S.A. Blanditiis,63.194.872/0001-58,6201-5/01 (Desenvolvimento de software),"Parque Moraes, 72",Sales dos Dourados,RR,Brasil,guilherme96@rodrigues.br,+55 81 7461-1267,Ativa
3363,Pinto Ltda,- ME Magnam,38.205.179/0001-96,7020-4/00 (Consultoria empresarial),"Travessa Rodrigues, 7",Freitas de Minas,RJ,Brasil,vitorda-rocha@souza.br,(061) 2585 3484,Inativa
3364,Costa da Paz Ltda. Ltda,S/A Porro,42.869.317/0001-09,6619-3/02 (Serviços financeiros),"Parque de Nunes, 74",Sales Grande,PA,Brasil,nascimentovinicius@pereira.com,+55 (041) 4777 6191,Inativa
3365,Barros S/A Ltda,e Filhos Quam,75.984.162/0001-00,7020-4/00 (Consultoria empresarial),"Praia da Cruz, 2",da Conceição,AP,Brasil,joaonovaes@cardoso.com,84 0581-9824,Inativa
3366,da Rosa Ltda,S/A Nisi,61.283.907/0001-08,7020-4/00 (Consultoria empresarial),"Via de Pires, 69",Duarte da Praia,MA,Brasil,rodriguesenzo-gabriel@viana.br,0500 356 7485,Ativa
3367,Moreira Campos S.A. Ltda,- ME Enim,63.205.798/0001-28,2063-1/00 (Fabricação de cosméticos),"Largo da Paz, 10",Fernandes de Campos,MG,Brasil,barbara62@castro.com,+55 (084) 3289 8834,Inativa
3368,Pires - ME Ltda,e Filhos Sed,84.753.901/0001-44,7020-4/00 (Consultoria empresarial),"Setor de Barbosa, 67",Peixoto do Oeste,CE,Brasil,da-costagiovanna@pires.br,(081) 8848-0780,Ativa
3369,Ferreira Ltda,e Filhos Consectetur,14.907.835/0001-34,1091-1/02 (Fabricação de alimentos),"Lago de Cunha, 47",Costela do Sul,PA,Brasil,gustavo-henrique08@da.br,(041) 1032 3884,Ativa
3370,Vieira Duarte - ME Ltda,S.A. Alias,03.258.761/0001-36,2063-1/00 (Fabricação de cosméticos),"Chácara Alves, 688",Duarte,SP,Brasil,ccaldeira@pereira.br,+55 11 6795-2666,Ativa
3371,Cardoso Ltda,S.A. Nostrum,63.102.485/0001-44,7020-4/00 (Consultoria empresarial),"Praça de da Rocha, 805",Castro,PR,Brasil,valentina09@mendes.net,41 3728 2081,Inativa
3372,Almeida Ltda,e Filhos Possimus,30.798.612/0001-32,6201-5/01 (Desenvolvimento de software),"Rodovia Jesus, 708",Nascimento,PA,Brasil,camposyuri@rocha.br,+55 51 2597 5137,Ativa
3373,Fernandes Ltda. Ltda,Ltda. At,26.037.815/0001-39,3511-5/00 (Geração de energia solar),"Chácara Samuel Sales, 6",Rodrigues,PB,Brasil,rochaheloisa@peixoto.br,+55 84 5667 5192,Inativa
3374,Nascimento Ltda,- EI Velit,52.748.309/0001-68,3511-5/00 (Geração de energia solar),Sítio Castro,Jesus,GO,Brasil,gabriel70@dias.org,+55 71 3920-4801,Ativa
3375,Pinto Ltda. Ltda,S/A Occaecati,78.941.325/0001-66,8020-0/01 (Monitoramento de segurança),"Viela Azevedo, 43",Almeida,SC,Brasil,sarahdias@almeida.com,+55 (084) 3237 0475,Ativa
3376,Teixeira Ltda,e Filhos Pariatur,09.871.356/0001-75,4930-2/01 (Transporte de cargas),"Chácara Moura, 53",Fogaça do Norte,RR,Brasil,joao85@rezende.br,(031) 5484-1346,Inativa
3377,Melo Ltda,e Filhos Quas,57.193.648/0001-49,6619-3/02 (Serviços financeiros),"Esplanada de Costela, 9",Carvalho,TO,Brasil,isaacramos@da.org,+55 (061) 9250-0373,Ativa
3378,Fogaça Ltda,Ltda. Alias,68.210.439/0001-82,3511-5/00 (Geração de energia solar),Pátio Fernandes,Duarte,AC,Brasil,maysacostela@jesus.br,(071) 5317 0579,Inativa
3379,Gomes - ME Ltda,S/A Aliquam,72.194.038/0001-53,8020-0/01 (Monitoramento de segurança),"Conjunto de da Rocha, 54",Fogaça da Mata,MG,Brasil,rnovaes@gomes.br,84 0412-0267,Ativa
3380,Nascimento e Filhos Ltda,- ME Doloribus,35.746.091/0001-93,3511-5/00 (Geração de energia solar),"Área Thiago da Cunha, 7",Dias,SP,Brasil,diego11@moura.com,(081) 8845-9004,Inativa
3381,Farias Ltda,Ltda. Beatae,93.174.582/0001-03,6619-3/02 (Serviços financeiros),"Passarela de Almeida, 593",Nascimento de Mendes,SP,Brasil,silvarodrigo@da.com,(051) 4938-9119,Inativa
3382,Monteiro Ltda. Ltda,Ltda. Fugiat,53.241.097/0001-90,3511-5/00 (Geração de energia solar),"Loteamento de Correia, 370",Barbosa,RN,Brasil,viniciusbarros@da.br,0900 850 8077,Inativa
3383,Ferreira S/A Ltda,Ltda. Sunt,42.198.075/0001-79,4671-6/00 (Com. atac. insumos agrícolas),"Estação Sophie Oliveira, 16",Lima,SE,Brasil,pedro-miguelalves@almeida.org,+55 41 1721-1727,Inativa
3384,Moraes Ltda,Ltda. Eveniet,38.197.245/0001-23,8599-6/04 (Treinamento profissional),"Travessa de da Cunha, 947",da Rocha de Goiás,SE,Brasil,rodriguesisabelly@castro.br,(051) 5893-2151,Inativa
3385,Gonçalves Ltda,S.A. Explicabo,85.274.109/0001-70,2063-1/00 (Fabricação de cosméticos),"Alameda de Cardoso, 74",Teixeira,PB,Brasil,xfogaca@cardoso.com,+55 (061) 8605-5435,Ativa
3386,Nunes Ltda,S/A Sint,79.325.416/0001-30,8599-6/04 (Treinamento profissional),"Sítio Novaes, 13",Cunha do Norte,RS,Brasil,yasminfreitas@dias.com,0800 867 7816,Ativa
3387,da Costa Ltda. Ltda,- EI Neque,29.840.631/0001-09,4671-6/00 (Com. atac. insumos agrícolas),"Loteamento Emanuelly Rezende, 628",Fogaça da Praia,SC,Brasil,wda-paz@lopes.org,+55 (041) 3653 5827,Ativa
3388,Santos Ltda,- EI Quasi,27.456.309/0001-47,1091-1/02 (Fabricação de alimentos),"Fazenda de Rodrigues, 74",Silveira Alegre,MT,Brasil,smoraes@silveira.com,+55 (011) 0790-7641,Inativa
3389,Lopes Sales S/A Ltda,S.A. Cum,61.593.078/0001-51,7020-4/00 (Consultoria empresarial),Trecho Nascimento,Freitas de Cavalcanti,RN,Brasil,mendesluiz-fernando@da.net,61 3350 2350,Inativa
3390,das Neves S/A Ltda,Ltda. Dolorem,47.318.950/0001-22,6201-5/01 (Desenvolvimento de software),Jardim Araújo,Melo do Sul,RJ,Brasil,smoura@moreira.br,(081) 9807-5966,Ativa
3391,da Paz Ltda,- EI Tempore,31.985.602/0001-79,4671-6/00 (Com. atac. insumos agrícolas),"Colônia de Santos, 401",Costela,RJ,Brasil,novaesana-julia@correia.br,(031) 5742 4529,Inativa
3392,Barros Ltda,S/A Vitae,84.910.725/0001-07,2063-1/00 (Fabricação de cosméticos),"Estação Pires, 18",Rocha,PB,Brasil,julia23@sales.org,0800-933-0061,Inativa
3393,Alves Cardoso e Filhos Ltda,Ltda. Quasi,37.825.406/0001-13,7020-4/00 (Consultoria empresarial),"Morro Erick da Mota, 1",Nunes,AP,Brasil,melissacorreia@almeida.org,+55 41 1010-0641,Inativa
3394,Silva Ltda,e Filhos Omnis,21.059.643/0001-80,3511-5/00 (Geração de energia solar),"Conjunto Alves, 8",da Rocha,PB,Brasil,marcelomoreira@lopes.com,0500 506 2055,Inativa
3395,Cavalcanti S/A Ltda,e Filhos Asperiores,84.023.657/0001-64,3511-5/00 (Geração de energia solar),"Fazenda Diogo Moreira, 71",Alves,PA,Brasil,alexiacarvalho@oliveira.br,11 4258 3573,Inativa
3396,da Mota Ltda,- ME Repellendus,86.391.250/0001-15,4930-2/01 (Transporte de cargas),"Lago Ian Freitas, 26",da Rosa,RN,Brasil,talves@farias.net,11 9339 6942,Inativa
3397,Gomes Correia - EI Ltda,Ltda. Numquam,74.563.802/0001-46,8020-0/01 (Monitoramento de segurança),"Morro de Rocha, 475",Rodrigues,RJ,Brasil,da-rosacamila@almeida.com,71 3342 3548,Inativa
3398,Fogaça Ltda,- ME Commodi,07.196.235/0001-40,4930-2/01 (Transporte de cargas),"Praia Freitas, 8",Caldeira,MS,Brasil,nicole81@nogueira.br,(061) 0999 6911,Ativa
3399,Barros Ltda,S/A Eos,40.518.926/0001-98,7020-4/00 (Consultoria empresarial),"Morro de Viana, 3",Almeida,RJ,Brasil,caroline79@rodrigues.com,+55 61 1412 8135,Inativa
3400,Ramos Ltda,S.A. Perspiciatis,15.740.628/0001-09,3511-5/00 (Geração de energia solar),"Estação Maria Fernanda Almeida, 72",das Neves,AM,Brasil,danilosouza@da.br,0500 096 5409,Ativa
3401,da Mata Ltda,Ltda. Eaque,49.163.508/0001-08,4671-6/00 (Com. atac. insumos agrícolas),"Quadra de das Neves, 938",Campos Grande,MT,Brasil,isabella39@da.br,+55 (081) 9284 4096,Ativa
3402,Martins Ltda,S/A Culpa,79.518.624/0001-55,7020-4/00 (Consultoria empresarial),"Praça Barros, 9",Martins,SE,Brasil,luiz-gustavogomes@barbosa.br,0300 187 4906,Inativa
3403,Moura Ltda,Ltda. Nesciunt,75.841.239/0001-93,3511-5/00 (Geração de energia solar),"Viaduto Daniela Melo, 22",Rezende,MG,Brasil,da-cruzisis@porto.br,+55 84 5574 4206,Inativa
3404,Caldeira Campos S/A Ltda,e Filhos Iste,95.861.302/0001-60,4671-6/00 (Com. atac. insumos agrícolas),"Campo de da Costa, 97",Correia da Praia,AC,Brasil,isiscardoso@rezende.com,+55 84 0789 0939,Inativa
3405,Almeida Teixeira - ME Ltda,- ME Harum,54.839.706/0001-70,4671-6/00 (Com. atac. insumos agrícolas),"Viela Ana Teixeira, 882",Monteiro,PE,Brasil,limaluiz-fernando@costela.com,+55 84 0786-1259,Ativa
3406,Moraes S/A Ltda,e Filhos Sapiente,04.872.531/0001-25,8599-6/04 (Treinamento profissional),"Viela Stella Cardoso, 666",Nascimento do Galho,PB,Brasil,heitorcosta@cunha.br,61 3510-5916,Ativa
3407,Novaes Ltda,S/A Eaque,07.932.651/0001-69,8020-0/01 (Monitoramento de segurança),"Feira de Cardoso, 7",da Mota,TO,Brasil,brunoda-mata@vieira.br,84 3848 9470,Inativa
3408,da Luz - EI Ltda,e Filhos Iste,15.347.098/0001-25,6619-3/02 (Serviços financeiros),"Núcleo João Miguel Costela, 457",Gomes de Oliveira,BA,Brasil,joaolima@peixoto.com,(051) 7392-2015,Ativa
3409,Vieira Ltda,S.A. Corrupti,56.039.274/0001-49,3511-5/00 (Geração de energia solar),"Estação Joana Lima, 53",Moraes,PI,Brasil,davi-luizviana@souza.br,21 1574-0120,Inativa
3410,Peixoto Ltda,- EI Totam,60.548.217/0001-62,4930-2/01 (Transporte de cargas),"Favela Cardoso, 398",Melo da Prata,MT,Brasil,da-conceicaosophie@campos.com,0900 721 3183,Ativa
3411,Costa Ltda,- ME Vitae,97.204.581/0001-15,7020-4/00 (Consultoria empresarial),"Morro de das Neves, 59",Nogueira,ES,Brasil,ada-rosa@monteiro.org,0800 200 6816,Inativa
3412,Cunha Nunes e Filhos Ltda,S/A Possimus,86.394.271/0001-94,8599-6/04 (Treinamento profissional),"Condomínio João Miguel Gonçalves, 944",Costa,RO,Brasil,gustavo-henrique34@da.br,+55 (071) 8523-3211,Ativa
3413,Azevedo Campos e Filhos Ltda,- EI Nulla,49.013.257/0001-77,8020-0/01 (Monitoramento de segurança),"Fazenda Laís Viana, 13",da Costa de Silva,SE,Brasil,nascimentobianca@da.br,+55 81 3765 5885,Inativa
3414,da Conceição Sales Ltda. Ltda,S/A Quas,89.546.102/0001-10,7020-4/00 (Consultoria empresarial),"Pátio Maria Alice Vieira, 4",da Cruz da Serra,PR,Brasil,fmelo@freitas.br,+55 (021) 3810-9021,Ativa
3415,Barros Pereira S/A Ltda,S/A Error,45.680.319/0001-43,6201-5/01 (Desenvolvimento de software),"Viela de Cavalcanti, 55",Porto,MS,Brasil,ana-luizagomes@fernandes.com,+55 (051) 1389-1690,Ativa
3416,Barbosa Castro e Filhos Ltda,S.A. Quisquam,73.805.694/0001-08,8599-6/04 (Treinamento profissional),"Sítio Aragão, 4",Duarte das Flores,PA,Brasil,benicio54@castro.br,+55 (031) 2861 8651,Ativa
3417,Silva Ltda,S.A. Perspiciatis,86.147.203/0001-20,6201-5/01 (Desenvolvimento de software),"Área Fernandes, 5",da Rocha de Moreira,AM,Brasil,martinslivia@peixoto.com,81 9849-5482,Inativa
3418,da Luz Ltda,- EI Illo,89.745.302/0001-00,4671-6/00 (Com. atac. insumos agrícolas),Passarela Kevin Martins,Mendes,AL,Brasil,heloisafarias@almeida.org,0900-079-9900,Inativa
3419,Monteiro Ltda,Ltda. Excepturi,70.659.432/0001-94,8599-6/04 (Treinamento profissional),"Estação de Silveira, 51",da Rosa,AL,Brasil,guilhermevieira@monteiro.br,(051) 6527 1325,Inativa
3420,da Conceição Ltda,e Filhos Eius,96.871.254/0001-54,4930-2/01 (Transporte de cargas),"Lago Mendes, 914",Melo,PR,Brasil,rodriguesluiza@da.br,(061) 9548 1131,Ativa
3421,Porto Ltda,- EI Ullam,63.129.847/0001-90,8599-6/04 (Treinamento profissional),"Parque Francisco da Costa, 96",Oliveira,RS,Brasil,clarice16@moraes.br,31 9525 9446,Ativa
3422,da Mata Ltda,S.A. Officia,56.730.941/0001-35,2063-1/00 (Fabricação de cosméticos),"Trevo de da Rocha, 47",Duarte,RR,Brasil,fda-costa@moraes.br,0800-030-2561,Inativa
3423,Jesus S.A. Ltda,S/A Nam,07.891.546/0001-29,8599-6/04 (Treinamento profissional),"Favela Barros, 251",da Luz de Minas,RO,Brasil,catarinaaraujo@nunes.com,31 1908-1708,Ativa
3424,Dias Ltda,S.A. Recusandae,78.542.130/0001-43,6619-3/02 (Serviços financeiros),"Viaduto João Vitor Castro, 495",Oliveira de da Rosa,RN,Brasil,danilo35@peixoto.net,+55 81 0335-2193,Inativa
3425,Castro Gonçalves S/A Ltda,- EI Iusto,34.095.628/0001-30,8020-0/01 (Monitoramento de segurança),"Lago Agatha Novaes, 1",Freitas,MG,Brasil,ppereira@nunes.br,+55 (041) 6491-2009,Inativa
3426,da Rocha Ltda,e Filhos Illum,07.451.986/0001-65,7020-4/00 (Consultoria empresarial),"Parque Fernandes, 5",Monteiro,PI,Brasil,ana00@silva.org,+55 21 0854-8621,Inativa
3427,Moreira - EI Ltda,S.A. Dolorum,50.623.418/0001-23,8020-0/01 (Monitoramento de segurança),"Lagoa da Paz, 34",Ramos das Flores,RO,Brasil,camposlaura@cardoso.br,+55 (081) 4024-7693,Ativa
3428,Almeida Ltda,S/A Ratione,72.905.368/0001-00,7020-4/00 (Consultoria empresarial),"Conjunto de Monteiro, 61",Campos,SE,Brasil,alexandre16@moraes.br,+55 (041) 7700 8899,Ativa
3429,Pinto Ltda,Ltda. Ullam,27.608.534/0001-51,1091-1/02 (Fabricação de alimentos),"Viaduto de da Mata, 69",Barbosa,TO,Brasil,castroaugusto@lopes.net,(051) 5954-0638,Ativa
3430,Correia Rocha Ltda. Ltda,- ME Eum,81.349.702/0001-87,8020-0/01 (Monitoramento de segurança),"Ladeira Correia, 51",Santos de Fogaça,SE,Brasil,rafaela86@da.br,41 7011-7477,Inativa
3431,da Rosa Ferreira S.A. Ltda,- EI Eos,09.231.687/0001-40,1091-1/02 (Fabricação de alimentos),"Rodovia Isabelly Lima, 5",Caldeira dos Dourados,AP,Brasil,gabriel63@gomes.net,+55 (081) 2738 5931,Inativa
3432,Rezende Ltda,Ltda. Doloribus,04.851.237/0001-37,4930-2/01 (Transporte de cargas),Favela Benício Correia,Cavalcanti,SP,Brasil,costamaria-cecilia@alves.br,71 7020-7804,Inativa
3433,Melo - ME Ltda,- ME Voluptates,76.348.592/0001-07,8599-6/04 (Treinamento profissional),"Praça Mariana da Mata, 626",Cardoso do Oeste,DF,Brasil,vitor-gabriel49@nascimento.br,+55 84 8221-0430,Inativa
3434,Cavalcanti Ltda,S.A. Cupiditate,42.950.163/0001-85,4930-2/01 (Transporte de cargas),"Esplanada Davi Lucas Campos, 515",Viana do Oeste,PB,Brasil,wda-rosa@rodrigues.br,+55 61 6940-3900,Inativa
3435,da Conceição - EI Ltda,S/A Id,42.653.710/0001-60,6619-3/02 (Serviços financeiros),"Sítio de Azevedo, 652",Novaes de Gonçalves,AM,Brasil,urezende@costa.com,+55 71 2266 3702,Ativa
3436,Vieira Ramos e Filhos Ltda,- ME Deserunt,18.460.725/0001-28,2063-1/00 (Fabricação de cosméticos),"Lago Lopes, 59",Aragão do Norte,AC,Brasil,gdas-neves@da.com,+55 31 9941-2179,Ativa
3437,Santos - ME Ltda,S.A. Corrupti,04.271.835/0001-37,6201-5/01 (Desenvolvimento de software),"Rodovia de Correia, 16",da Rocha,MG,Brasil,luiz-otavio21@da.com,61 1378-3742,Inativa
3438,Cardoso Lopes e Filhos Ltda,- EI Enim,79.540.683/0001-20,6619-3/02 (Serviços financeiros),Residencial de Azevedo,Lima das Pedras,MG,Brasil,dda-rosa@fernandes.br,+55 51 4739 6278,Ativa
3439,Moreira Gonçalves S.A. Ltda,S/A Perferendis,14.207.863/0001-49,1091-1/02 (Fabricação de alimentos),"Travessa de Porto, 331",Mendes do Oeste,PA,Brasil,ferreiraluiz-fernando@ramos.br,41 3713-5923,Inativa
3440,Araújo Ltda,S.A. Atque,43.681.027/0001-08,1091-1/02 (Fabricação de alimentos),"Vale de Araújo, 503",da Conceição do Norte,SE,Brasil,manuela62@porto.com,61 1325 6184,Inativa
3441,Rocha Ltda,e Filhos Veniam,13.045.926/0001-45,8020-0/01 (Monitoramento de segurança),"Feira de Ribeiro, 660",Nascimento,PR,Brasil,manuela64@viana.com,+55 (021) 5179 8097,Inativa
3442,Barros Sales - EI Ltda,Ltda. Nesciunt,30.258.479/0001-21,8020-0/01 (Monitoramento de segurança),Condomínio de da Mota,da Rosa,AC,Brasil,carvalhojoaquim@campos.com,0300 234 2104,Ativa
3443,Freitas Carvalho - ME Ltda,S/A Reiciendis,52.794.063/0001-60,6201-5/01 (Desenvolvimento de software),"Recanto de Fernandes, 3",Cunha da Praia,BA,Brasil,miguelgomes@correia.com,+55 71 8289 8762,Ativa
3444,Duarte Jesus - ME Ltda,S.A. Veritatis,41.385.702/0001-18,3511-5/00 (Geração de energia solar),"Parque Almeida, 33",Cardoso,AL,Brasil,da-costamaria-eduarda@da.br,31 5878 7829,Ativa
3445,da Cunha Ltda,Ltda. Totam,52.084.791/0001-89,3511-5/00 (Geração de energia solar),Loteamento Rebeca Lima,Rezende Paulista,AP,Brasil,da-cruzpedro-miguel@ferreira.org,(081) 8576 3569,Ativa
3446,Ferreira Ltda. Ltda,- ME Nihil,08.236.719/0001-38,4671-6/00 (Com. atac. insumos agrícolas),"Campo de Peixoto, 2",Teixeira Paulista,BA,Brasil,fernandovieira@araujo.com,(084) 9034 0132,Ativa
3447,Rodrigues Ltda,- EI Sunt,78.235.190/0001-13,8020-0/01 (Monitoramento de segurança),Vereda de Rodrigues,da Rocha,PR,Brasil,caldeirasofia@sales.com,(061) 7006 8908,Ativa
3448,Souza - EI Ltda,S.A. Ex,79.614.082/0001-14,6201-5/01 (Desenvolvimento de software),Aeroporto de Pires,Souza de das Neves,AC,Brasil,pmendes@ferreira.org,11 7502 4127,Inativa
3449,Pereira - EI Ltda,- EI Nam,96.407.321/0001-84,4930-2/01 (Transporte de cargas),"Alameda de da Luz, 21",Farias da Praia,PI,Brasil,elisamoreira@nascimento.net,84 0833-3549,Inativa
3450,Vieira Ltda,e Filhos Reprehenderit,40.819.356/0001-76,4671-6/00 (Com. atac. insumos agrícolas),"Trecho João Pedro Lima, 11",Mendes do Amparo,BA,Brasil,alice68@cunha.br,(084) 6190 0378,Ativa
3451,Silveira e Filhos Ltda,S/A Vel,35.847.920/0001-24,6201-5/01 (Desenvolvimento de software),"Chácara Porto, 7",da Paz,GO,Brasil,maria-eduarda22@rezende.net,+55 (084) 8832-0810,Ativa
3452,Dias Barbosa e Filhos Ltda,Ltda. Fuga,61.570.398/0001-96,8599-6/04 (Treinamento profissional),"Viaduto Samuel Araújo, 77",Peixoto de Sales,AM,Brasil,gabrielaaragao@peixoto.org,51 9032 5041,Ativa
3453,Caldeira Barros S/A Ltda,S.A. Commodi,53.218.467/0001-79,4930-2/01 (Transporte de cargas),"Trevo Marcela Melo, 784",Mendes,DF,Brasil,ifernandes@rodrigues.net,(021) 5558-8328,Ativa
3454,Vieira Ltda. Ltda,- ME Eum,19.604.537/0001-99,8020-0/01 (Monitoramento de segurança),"Alameda Viana, 88",Farias de Monteiro,PI,Brasil,da-rochalucas@goncalves.br,41 2244-4161,Inativa
3455,da Rocha Ltda,- ME Recusandae,59.610.284/0001-80,4671-6/00 (Com. atac. insumos agrícolas),"Campo de Almeida, 4",Barros,AL,Brasil,joao-lucasgomes@goncalves.br,+55 81 8383-1907,Ativa
3456,Silva da Rosa e Filhos Ltda,e Filhos Commodi,65.324.108/0001-85,8599-6/04 (Treinamento profissional),Avenida de das Neves,Souza,MA,Brasil,guilherme57@vieira.br,+55 11 4034-3414,Inativa
3457,Castro - EI Ltda,- ME Dolor,23.854.796/0001-45,8020-0/01 (Monitoramento de segurança),"Rua de Sales, 79",Cardoso,AL,Brasil,kevinda-luz@cardoso.br,+55 (031) 7901 8373,Ativa
3458,Moura Ltda,Ltda. Dicta,74.139.086/0001-74,6619-3/02 (Serviços financeiros),"Campo de Monteiro, 97",das Neves do Norte,DF,Brasil,arthur51@nunes.br,(011) 0565-4721,Ativa
3459,Costa Ltda,e Filhos Doloremque,67.582.013/0001-97,6619-3/02 (Serviços financeiros),"Largo Pedro Lucas Barbosa, 73",Gomes,MG,Brasil,rafaelferreira@almeida.net,61 5173 1299,Inativa
3460,Almeida Cardoso - EI Ltda,Ltda. Delectus,58.491.730/0001-12,7020-4/00 (Consultoria empresarial),Passarela de Freitas,Lopes do Oeste,BA,Brasil,ncardoso@novaes.br,+55 51 9305 6460,Inativa
3461,Costa S.A. Ltda,- EI Incidunt,23.715.094/0001-80,8020-0/01 (Monitoramento de segurança),"Condomínio de da Costa, 54",Costela,DF,Brasil,qbarros@gomes.br,(031) 0675-9977,Inativa
3462,Correia Ltda,- EI Impedit,72.058.149/0001-32,8599-6/04 (Treinamento profissional),Recanto Bárbara Alves,Moura,AL,Brasil,jesusdaniela@alves.br,(071) 0427-5993,Ativa
3463,Viana Ltda. Ltda,Ltda. Adipisci,34.786.510/0001-58,4671-6/00 (Com. atac. insumos agrícolas),"Travessa de Melo, 15",Nascimento,AM,Brasil,vinicius03@sales.com,+55 84 1867-8372,Inativa
3464,Pires Ltda,- EI Error,90.612.345/0001-99,2063-1/00 (Fabricação de cosméticos),"Fazenda Yuri Cardoso, 19",Viana,AL,Brasil,lorena32@barbosa.br,(071) 0761-7633,Ativa
3465,Freitas Ltda,- ME Quidem,37.814.269/0001-11,4930-2/01 (Transporte de cargas),"Área de Martins, 2",Nunes,ES,Brasil,barbara40@lopes.com,+55 (061) 9335 6256,Ativa
